sequence	16S_rRNA_Count	metadata_NSTI
02bd9cf05bc77ce48af58f624a0ef94b	1	0.097859
02d5a634f1da38212af8ddbd4c9cd531	7	0.004907
02d5dc68b968f6a4b698307c59845e29	1	0.200022
02fc1f455a4d4d1a851b3752eef338d4	1	0.014338
030a50be59f9cca98ef81ebcd2b2428b	1	0.004611
034061db75629f2f71b16186302a7e44	1	0.0046689999999999995
0356647881623063d0048de0a2cea300	1	0.133198
0357555361c47d882fab2c9e7ca8ba6c	2	0.21221700000000002
036b9f4a09e271ad260bb98c157763ea	1	0.164882
0377a14a258ccd20b65e8ecebbd4666b	1	0.047997000000000005
039b55af3f78721e8ded7864c1006751	1	0.277541
03c7222964723b1951d26ce2dd6e8fba	2	0.296495
03d0319e5420b1360552b439576b2fd1	1	0.004557
03e0e2967cf3bb7f136e99075951fb1d	1	0.13180899999999998
03e5cea7eb0c9ac507d4a9afc8373264	1	0.050656
03f0f17c02de4f77e9fda23eac030cc1	2	0.004546
0405f5100afb62436f3246d338434eb7	1	0.056813999999999996
0436fefb7128f17f7e58f8a74ea40b9c	1	0.18706
04507dd66f7de217b9cfac53b70d5912	1	0.18438800000000002
0451c9fadb1ec9eec744d8fae5712d95	1	0.004638000000000001
04565d73348aca0d0075e85dd8626eec	2	0.14661
046bcc218d33cbf965d76ebe0cffecd6	2	0.004696
048575a9319058a88630d33d4fc3d546	1	0.097965
04a40653886fdb1a22227303b91efa68	1	0.06387799999999999
04ac48241737d4f02b898a69df0b7cd8	1	0.088149
04be3b31e75dad69672531d2a13ef65a	1	0.165226
04c94959dde054c07f59ebf4c9c46127	1	0.004686
04ca162b3dd2dc7f483ab3503bc605c3	1	0.0046890000000000005
04e795715504ba6359b9ee112e3a0b5a	1	0.054391999999999996
04e833e17badf34a5e54bf43827bc560	1	0.013671
04ecfad5772d2e09a84a0f5ef460536c	1	0.000102
04edaa963304c466674c30f9f9bb087e	1	0.000102
04fd367b2a07117063ec81971f721476	2	0.300713
